Date,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACoS),Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,Advertised SKU,Advertised ASIN
01/01/2025,Brand Defense - Exact,Yoga Mat Premium,yoga mat,Exact,yoga mat,45230,892,1.97%,0.85,758.20,12450.00,6.09%,16.42,156,178,17.49%,YM-001,B08ABC123
01/01/2025,Brand Defense - Exact,Yoga Mat Premium,best yoga mat,Exact,best yoga mat,32100,623,1.94%,0.92,573.16,8920.00,6.43%,15.56,98,112,15.73%,YM-001,B08ABC123
01/01/2025,Product Launch - Broad,Resistance Bands Set,resistance bands,Broad,resistance bands for women,28500,412,1.45%,0.65,267.80,3250.00,8.24%,12.14,42,58,10.19%,RB-SET-01,B08DEF456
01/01/2025,Product Launch - Broad,Resistance Bands Set,workout bands,Broad,workout bands set,21000,325,1.55%,0.72,234.00,2890.00,8.10%,12.35,35,48,10.77%,RB-SET-01,B08DEF456
01/01/2025,Growth Campaign,Water Bottle 32oz,water bottle,Phrase,insulated water bottle,52000,780,1.50%,0.48,374.40,5620.00,6.66%,15.01,78,92,10.00%,WB-32,B08GHI789
01/01/2025,Growth Campaign,Water Bottle 32oz,stainless steel water bottle,Phrase,stainless steel water bottle 32 oz,38000,612,1.61%,0.52,318.24,4850.00,6.56%,15.24,68,82,11.11%,WB-32,B08GHI789
01/01/2025,Profitability Focus,Foam Roller,foam roller,Exact,foam roller,62000,1050,1.69%,0.38,399.00,8200.00,4.87%,20.55,120,132,11.43%,FR-001,B08JKL012
01/01/2025,Profitability Focus,Foam Roller,muscle roller,Exact,muscle roller,41000,720,1.76%,0.42,302.40,5800.00,5.21%,19.18,82,95,11.39%,FR-001,B08JKL012
01/01/2025,Portfolio Balance,Jump Rope,jump rope,Broad,jump rope for fitness,35000,450,1.29%,0.55,247.50,2100.00,11.79%,8.48,35,42,7.78%,JR-001,B08MNO345
01/01/2025,Portfolio Balance,Jump Rope,speed rope,Broad,speed jump rope,28000,380,1.36%,0.58,220.40,1820.00,12.11%,8.26,28,35,7.37%,JR-001,B08MNO345
01/02/2025,Brand Defense - Exact,Yoga Mat Premium,yoga mat,Exact,yoga mat,44800,910,2.03%,0.83,755.30,12800.00,5.90%,16.95,162,184,17.80%,YM-001,B08ABC123
01/02/2025,Brand Defense - Exact,Yoga Mat Premium,best yoga mat,Exact,best yoga mat,33200,655,1.97%,0.90,589.50,9200.00,6.41%,15.61,105,118,16.03%,YM-001,B08ABC123
01/02/2025,Product Launch - Broad,Resistance Bands Set,resistance bands,Broad,resistance bands home gym,29800,438,1.47%,0.68,297.84,3420.00,8.71%,11.48,45,62,10.27%,RB-SET-01,B08DEF456
01/02/2025,Product Launch - Broad,Resistance Bands Set,workout bands,Broad,exercise bands,22500,342,1.52%,0.70,239.40,3050.00,7.85%,12.74,38,52,11.11%,RB-SET-01,B08DEF456
01/02/2025,Growth Campaign,Water Bottle 32oz,water bottle,Phrase,water bottle with straw,54000,825,1.53%,0.46,379.50,5850.00,6.49%,15.42,82,98,9.94%,WB-32,B08GHI789
01/02/2025,Growth Campaign,Water Bottle 32oz,stainless steel water bottle,Phrase,metal water bottle,39500,638,1.61%,0.50,319.00,5100.00,6.25%,15.99,72,88,11.29%,WB-32,B08GHI789
01/02/2025,Profitability Focus,Foam Roller,foam roller,Exact,foam roller for back,64000,1080,1.69%,0.36,388.80,8500.00,4.57%,21.87,125,138,11.57%,FR-001,B08JKL012
01/02/2025,Profitability Focus,Foam Roller,muscle roller,Exact,deep tissue roller,42500,745,1.75%,0.40,298.00,6000.00,4.97%,20.13,85,98,11.41%,FR-001,B08JKL012
01/02/2025,Portfolio Balance,Jump Rope,jump rope,Broad,weighted jump rope,36000,468,1.30%,0.53,248.04,2200.00,11.27%,8.87,36,44,7.69%,JR-001,B08MNO345
01/02/2025,Portfolio Balance,Jump Rope,speed rope,Broad,crossfit jump rope,29000,395,1.36%,0.56,221.20,1900.00,11.64%,8.59,30,38,7.59%,JR-001,B08MNO345
